,COMPOUND_ID,SOURCES,PCT_IHB_3D7,PCT_INHB_DD2,PCT_INHIB_3D7_PFLDH,pXC50_3D7,SMILES
105,539377,"TCMDC-134854, 639377 (CHEMBL)",100.0,97.0,0.0,6.1941,c1ccc(cc1)C(=O)Nc2ccc(cc2)c3cc(nc4c3c(ncn4)N)c5ccc(cc5)F
106,541979,"TCMDC-139069, 641979 (CHEMBL)",100.0,72.0,0.0,6.11634,COc1ccc2c(c1)c(c[nH]2)C3CCN(CC3)Cc4ccc(cc4)NC(=O)c5ccc(cc5)c6ccccc6
107,538940,"TCMDC-138618, 638940 (CHEMBL)",98.0,55.0,0.0,6.04695,c1cc2c(ccn2CCCC3CCCNC3)c4c1nc(nc4N)N.Cl
108,538976,"TCMDC-135634, 638976 (CHEMBL)",82.0,54.0,2.0,6.02202,CC(C)C[C@@H](C(=O)N[C@@H](CCc1ccccc1)/C=N/NC(=O)Cc2cccnc2)NC(=O)c3cc4cccc(c4o3)OC
109,538977,"TCMDC-131615, 638977 (CHEMBL)",93.0,97.0,0.0,8.49485,CC1(NC(=NC(=N)N1OCCOc2cccc(c2)C(F)(F)F)N)C.Br
110,541587,"TCMDC-137340, 641587 (CHEMBL)",100.0,98.0,3.0,6.06586,CS(=O)(=O)O.C=CCOc1ccc2ccccc2c1CNCCCCCCNCc3c4ccccc4ccc3OCC=C
111,539059,"TCMDC-137620, 639059 (CHEMBL)",99.0,98.0,6.0,6.60771,CCCCCNC(=N)c1ccc(cc1)OCCCCCOc2ccc(cc2)C(=N)NCCCCC.Cl
112,539099,"TCMDC-136886, 639099 (CHEMBL)",89.0,3.0,0.0,5.74631,CN(C(=N)NCCCC#Cc1cccc(c1)CN2CCCC2)N=Cc3ccccc3
113,539178,"TCMDC-134178, 639178 (CHEMBL)",97.0,7.0,5.0,6.06257,CN(C)CCOc1ccc(cc1)n2c3c(cncc3nc2c4c(non4)N)c5ccc(cc5)F
114,524874,"TCMDC-137124, 624874 (CHEMBL)",100.0,100.0,0.0,7.04962,CC(=O)Nc1nc(cs1)C(=O)Nc2cccc(c2)c3cccc(c3)c4[nH]c5ccc(cc5n4)F
115,539693,"TCMDC-133968, 639693 (CHEMBL)",84.0,87.0,0.0,6.04825,Cc1cc(ccc1OC2CCN(C2)Cc3ccccc3)NC(=O)c4cccs4.C(=O)(C(F)(F)F)O
116,539697,"TCMDC-142062, 639697 (CHEMBL)",100.0,62.0,0.0,6.1236,Cc1ccc2c(c1)c(cc(n2)C)NN=Cc3ccccc3Cl
117,539730,"TCMDC-124608, 639730 (CHEMBL), COMMERCIAL",92.0,3.0,1.0,5.9259,Cc1c2cccc(c2[nH]c1CN3CCC(CC3)N4CCC(CC4)C(=O)NC5CC5)Cl
118,539731,"TCMDC-133994, 639731 (CHEMBL)",100.0,29.0,0.0,6.18207,CCCCc1cc(nc(n1)Nc2ccccc2)NC3CCN(CC3)C
119,539894,"TCMDC-134563, 639894 (CHEMBL)",99.0,99.0,0.0,6.35383,c1cc(ccc1C#N)c2ccc(cc2)C(=O)NCC3CCN(CC3)CCN4CCC(CC4)c5ccc6c(c5OCC(=O)N)CCCC6
120,539969,"TCMDC-138552, 639969 (CHEMBL)",87.0,9.0,0.0,5.89672,c1ccc(cc1)CCNc2ccnc3c2ccc(c3)C(F)(F)F.Cl
121,540011,"TCMDC-132153, 640011 (CHEMBL)",100.0,14.0,4.0,6.38676,Cc1cccc2c1[nH]c(n2)c3ccc(cc3)c4cccc(c4)NC(=O)CCc5c[nH]cn5
122,542856,"TCMDC-138262, 642856 (CHEMBL)",81.0,67.0,2.0,5.99761,CCCc1cc(=O)oc2c1c(c(c(c2)OC)C(=O)CC(C)C)OC
124,539466,"TCMDC-123605, 639466 (CHEMBL), COMMERCIAL",88.0,45.0,0.0,6.01917,CCCC(=O)NC(c1ccc(cc1)C)c2ccc3cccnc3c2O
125,542149,"TCMDC-134771, 642149 (CHEMBL)",99.0,9.0,0.0,5.90873,Cc1cc(nc(n1)NCCc2ccccc2)NCCC(=O)NCCOc3ccccc3.C(=O)(C(F)(F)F)O
126,539321,"TCMDC-133190, 639321 (CHEMBL)",100.0,100.0,0.0,6.83993,c1cc(cc(c1)NC(=O)Nc2ccc(cc2)c3ccc(cc3)c4[nH]c5ccc(cc5n4)C(F)(F)F)C#N
127,539358,"TCMDC-125384, 639358 (CHEMBL), COMMERCIAL",97.0,83.0,1.0,6.11836,Cc1ccn2cc(nc2c1)c3cccc(c3)NC(=O)c4cc(c(c(c4)OC)OC)OC
128,539393,"TCMDC-141705, 639393 (CHEMBL)",89.0,81.0,4.0,5.90263,c1ccc2c(c1)c(=O)cc(n2CC(=O)N(Cc3ccc(cc3)c4ccc(cc4)C(F)(F)F)C5CCN(CC5)CCO)SCc6cccc(c6F)F
129,538792,"TCMDC-123682, 638792 (CHEMBL), COMMERCIAL",86.0,90.0,3.0,6.16244,Cc1ccc(cc1)OCC(=O)Nc2cc(c(cc2OC)OC)Cl
